Country,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Dominican Republic,DOM,4.66176228,2.459516368,4.495103403,-1.345706185,2.570134279,9.428236947,9.174355406,7.415951715,3.209504262,0.946155168,8.33965106,3.133423003,2.717367897,4.875205093,7.05046369,6.927018772,6.659200263,4.666704677,6.982527585,5.05216802,-6.720239373
Ecuador,ECU,1.091801564,4.0156299,4.096776659,2.722877337,8.211020917,5.291308267,4.403526434,2.190063972,6.3571306,0.566491592,3.525298669,7.868140919,5.641962067,4.946511267,3.788868549,0.098872608,-1.226383985,2.368386526,1.289291933,0.012105103,-7.750123377
"Egypt, Arab Rep.",EGY,6.370003834,3.535251969,2.390204028,3.193454739,4.092071612,4.471744469,6.843838197,7.087827427,7.156283564,4.6735998,5.147234859,1.764571949,2.226199797,2.185466054,2.91591188,4.372019078,4.346643456,4.181221,5.314121037,5.557683888,3.569669475
El Salvador,SLV,1.12605705,0.877318892,1.580862265,1.562231082,0.890786052,2.707467768,4.342895377,1.860579145,2.570846686,-2.086120492,2.105085752,3.815356138,2.814342809,2.235684893,1.711314783,2.39746263,2.541545026,2.252358774,2.412371287,2.635146667,-7.943984613
Equatorial Guinea,GNQ,18.21377996,63.37987543,19.46283404,13.95525032,37.99872686,16.74870061,7.704917607,15.28211392,17.79910913,1.343356288,-8.924175889,6.52392363,8.312871844,-4.133198501,0.415066302,-9.110041149,-8.816417232,-5.667502957,-6.236550982,-5.978936905,-4.893356474
Eritrea,ERI,-3.141985903,8.755435528,3.005429192,-2.655515925,1.451735566,2.574449551,-0.969217111,1.426822211,-9.783030018,3.876501528,2.194190349,8.679800101,..,..,..,..,..,..,..,..,..
Estonia,EST,10.10652281,5.979600665,6.802392818,7.56668921,6.767457416,9.490298742,9.718761103,7.573578039,-5.088940351,-14.43387019,2.690335599,7.426671578,3.110237736,1.346184732,2.987324825,1.844886677,3.187817083,5.49915471,4.355464765,4.996443785,-2.932248056
Eswatini,SWZ,1.76017376,1.054764906,4.380099088,3.880213586,3.623914226,5.99877655,5.992166838,4.435375577,0.821663914,1.565048852,3.793754968,2.247229761,5.391309307,3.862271882,0.913196495,2.203324126,1.100718394,2.026570236,2.371609694,2.243919525,-1.637027507
Ethiopia,ETH,6.07321748,8.301306321,1.514725706,-2.161359722,13.57260314,11.81876595,10.83472707,11.456167,10.78852169,8.802553198,12.55053835,11.17829623,8.647811633,10.58227005,10.25749296,10.39246302,9.433482658,9.564189643,6.816147797,8.364085699,6.056617792
Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Fiji,FJI,-1.699998416,2.000000147,3.199999114,0.999999345,5.299999705,0.700000402,1.852483872,-0.85065431,1.03279422,-1.386037708,2.954672422,2.705143029,1.411314382,4.73421949,5.603141161,4.502018108,2.444752967,5.353631074,3.812637219,-0.4453347,-19.04875649
Finland,FIN,5.773362458,2.610019124,1.707148962,2.003784203,3.99209129,2.779850556,4.027409658,5.299336507,0.783995061,-8.074447432,3.185958654,2.547664838,-1.397545728,-0.901696316,-0.364908157,0.543659212,2.811457767,3.19240963,1.311835053,1.272842506,-2.773576706
France,FRA,3.923669227,1.983721419,1.135531482,0.823160757,2.829752929,1.66321998,2.449323601,2.424736243,0.25494596,-2.873313828,1.949437623,2.192700633,0.313134751,0.576326675,0.956183052,1.112912341,1.095464404,2.291419994,1.792863927,1.50859403,-8.114907097
French Polynesia,PYF,4.000000343,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Gabon,GAB,-1.882966398,2.135233422,-0.249033169,2.247330012,0.689543058,2.676203333,-2.806578356,6.008108025,-3.308430649,0.13033112,7.089887315,7.091753343,5.251076918,5.638699003,4.314964441,3.878899395,2.091442208,0.472642031,0.842950946,3.944946204,-1.323936553
"Gambia, The",GMB,5.500000216,5.800000243,-3.25000015,6.869999622,7.050000001,-2.351729362,-0.555580977,3.043249508,6.255905534,6.665724308,5.90833581,-8.130444223,5.241569246,2.87276879,-1.407382495,4.058073804,1.943359655,4.822611249,7.234890333,6.056765744,0
Georgia,GEO,1.838341066,4.805453273,5.473836801,11.05872319,5.794496346,9.589574062,9.419770648,12.57895343,2.418571659,-3.650513631,6.249487768,7.399999867,6.369008306,3.621305352,4.431924823,3.02220738,2.90643878,4.842603225,4.842919885,4.982350475,-6.159672928
